13/05/2018-Southampton-Man City, O_Home:1.43788, D_Home:1.14602, O_Away:2.83622, D_Away:0.66088, Rest Home4, Rest Away3, Win :0.13, Draw :0.2
13/05/2018-Swansea-Stoke, O_Home:1.07285, D_Home:1.25716, O_Away:1.22112, D_Away:1.2904, Rest Home4, Rest Away8, Win :0.4, Draw :0.31
13/05/2018-Tottenham-Leicester, O_Home:2.29316, D_Home:0.74232, O_Away:1.54154, D_Away:1.16615, Rest Home3, Rest Away3, Win :0.75, Draw :0.17
13/05/2018-West Ham-Everton, O_Home:1.50964, D_Home:1.40458, O_Away:1.48661, D_Away:1.16186, Rest Home2, Rest Away7, Win :0.39, Draw :0.27
30/09/2017-Bournemouth-Leicester, O_Home:1.40543, D_Home:1.38235, O_Away:1.62688, D_Away:1.23612, Rest Home6, Rest Away6, Win :0.36, Draw :0.26
30/09/2017-Chelsea-Man City, O_Home:2.44652, D_Home:0.7746, O_Away:2.78693, D_Away:0.66309, Rest Home2, Rest Away3, Win :0.36, Draw :0.25
30/09/2017-Huddersfield-Tottenham, O_Home:1.03631, D_Home:1.27081, O_Away:2.23328, D_Away:0.79007, Rest Home6, Rest Away3, Win :0.13, Draw :0.23
30/09/2017-Man United-Crystal Palace, O_Home:2.44573, D_Home:0.67255, O_Away:1.33924, D_Away:1.30865, Rest Home2, Rest Away6, Win :0.84, Draw :0.12
30/09/2017-Stoke-Southampton, O_Home:1.44896, D_Home:1.17885, O_Away:1.40098, D_Away:1.06269, Rest Home6, Rest Away6, Win :0.42, Draw :0.29
30/09/2017-West Brom-Watford, O_Home:1.19402, D_Home:1.14699, O_Away:1.38637, D_Away:1.2672, Rest Home4, Rest Away6, Win :0.42, Draw :0.3
30/09/2017-West Ham-Swansea, O_Home:1.50341, D_Home:1.28439, O_Away:1.289, D_Away:1.24934, Rest Home7, Rest Away6, Win :0.48, Draw :0.27
01/10/2017-Arsenal-Brighton, O_Home:2.26352, D_Home:0.99462, O_Away:1.05807, D_Away:1.29002, Rest Home2, Rest Away6, Win :0.81, Draw :0.14
01/10/2017-Everton-Burnley, O_Home:1.59643, D_Home:1.14907, O_Away:1.38948, D_Away:1.13537, Rest Home2, Rest Away7, Win :0.47, Draw :0.28
01/10/2017-Newcastle-Liverpool, O_Home:1.30691, D_Home:1.21926, O_Away:2.18628, D_Away:0.97442, Rest Home6, Rest Away4, Win :0.23, Draw :0.25
14/10/2017-Burnley-West Ham, O_Home:1.38317, D_Home:1.12359, O_Away:1.47441, D_Away:1.2362, Rest Home12, Rest Away13, Win :0.45, Draw :0.28
14/10/2017-Crystal Palace-Chelsea, O_Home:1.33417, D_Home:1.32996, O_Away:2.36517, D_Away:0.76802, Rest Home13, Rest Away13, Win :0.15, Draw :0.21
14/10/2017-Liverpool-Man United, O_Home:2.17191, D_Home:0.95297, O_Away:2.48008, D_Away:0.66928, Rest Home12, Rest Away13, Win :0.31, Draw :0.26
14/10/2017-Man City-Stoke, O_Home:2.77033, D_Home:0.63019, O_Away:1.49064, D_Away:1.20312, Rest Home13, Rest Away13, Win :0.85, Draw :0.11
14/10/2017-Swansea-Huddersfield, O_Home:1.24069, D_Home:1.22394, O_Away:0.99146, D_Away:1.30122, Rest Home13, Rest Away14, Win :0.51, Draw :0.3
14/10/2017-Tottenham-Bournemouth, O_Home:2.27978, D_Home:0.75219, O_Away:1.37665, D_Away:1.33101, Rest Home14, Rest Away13, Win :0.81, Draw :0.14
14/10/2017-Watford-Arsenal, O_Home:1.43817, D_Home:1.29067, O_Away:2.36526, D_Away:1.01618, Rest Home14, Rest Away13, Win :0.22, Draw :0.23
15/10/2017-Brighton-Everton, O_Home:1.04964, D_Home:1.29074, O_Away:1.56498, D_Away:1.17738, Rest Home13, Rest Away13, Win :0.3, Draw :0.29
15/10/2017-Southampton-Newcastle, O_Home:1.42837, D_Home:1.09631, O_Away:1.28077, D_Away:1.20998, Rest Home14, Rest Away13, Win :0.5, Draw :0.29
16/10/2017-Leicester-West Brom, O_Home:1.56904, D_Home:1.20983, O_Away:1.21654, D_Away:1.19237, Rest Home16, Rest Away16, Win :0.52, Draw :0.27
20/10/2017-West Ham-Brighton, O_Home:1.47159, D_Home:1.22726, O_Away:1.05267, D_Away:1.28831, Rest Home6, Rest Away5, Win :0.55, Draw :0.27
21/10/2017-Chelsea-Watford, O_Home:2.33845, D_Home:0.84429, O_Away:1.46395, D_Away:1.26024, Rest Home2, Rest Away6, Win :0.76, Draw :0.16
21/10/2017-Huddersfield-Man United, O_Home:0.9687, D_Home:1.31284, O_Away:2.34759, D_Away:0.64539, Rest Home6, Rest Away2, Win :0.09, Draw :0.2
21/10/2017-Man City-Burnley, O_Home:2.91113, D_Home:0.66966, O_Away:1.3735, D_Away:1.12125, Rest Home3, Rest Away6, Win :0.85, Draw :0.11
21/10/2017-Newcastle-Crystal Palace, O_Home:1.32354, D_Home:1.2299, O_Away:1.3961, D_Away:1.29222, Rest Home5, Rest Away6, Win :0.44, Draw :0.28
21/10/2017-Southampton-West Brom, O_Home:1.45077, D_Home:1.13476, O_Away:1.20494, D_Away:1.17133, Rest Home5, Rest Away4, Win :0.5, Draw :0.29
21/10/2017-Stoke-Bournemouth, O_Home:1.55033, D_Home:1.27634, O_Away:1.34598, D_Away:1.30393, Rest Home6, Rest Away6, Win :0.5, Draw :0.26
21/10/2017-Swansea-Leicester, O_Home:1.25193, D_Home:1.19774, O_Away:1.54344, D_Away:1.19827, Rest Home6, Rest Away4, Win :0.38, Draw :0.29
22/10/2017-Everton-Arsenal, O_Home:1.56219, D_Home:1.18066, O_Away:2.31704, D_Away:1.03649, Rest Home2, Rest Away2, Win :0.28, Draw :0.25
22/10/2017-Tottenham-Liverpool, O_Home:2.24534, D_Home:0.72529, O_Away:2.32705, D_Away:0.89017, Rest Home4, Rest Away4, Win :0.49, Draw :0.25
28/10/2017-Arsenal-Swansea, O_Home:2.38214, D_Home:1.01067, O_Away:1.23731, D_Away:1.22626, Rest Home3, Rest Away3, Win :0.76, Draw :0.16
28/10/2017-Bournemouth-Chelsea, O_Home:1.36259, D_Home:1.29447, O_Away:2.36116, D_Away:0.90756, Rest Home3, Rest Away2, Win :0.19, Draw :0.22
28/10/2017-Crystal Palace-West Ham, O_Home:1.35863, D_Home:1.26164, O_Away:1.42087, D_Away:1.31276, Rest Home3, Rest Away2, Win :0.44, Draw :0.27
28/10/2017-Liverpool-Huddersfield, O_Home:2.30678, D_Home:0.93209, O_Away:1.04916, D_Away:1.28361, Rest Home5, Rest Away6, Win :0.82, Draw :0.14
28/10/2017-Man United-Tottenham, O_Home:2.3021, D_Home:0.70869, O_Away:2.32679, D_Away:0.71632, Rest Home3, Rest Away2, Win :0.44, Draw :0.27
28/10/2017-Watford-Stoke, O_Home:1.55538, D_Home:1.27446, O_Away:1.53961, D_Away:1.29234, Rest Home7, Rest Away6, Win :0.46, Draw :0.26
28/10/2017-West Brom-Man City, O_Home:1.16915, D_Home:1.17474, O_Away:2.93064, D_Away:0.65654, Rest Home6, Rest Away3, Win :0.09, Draw :0.17
29/10/2017-Brighton-Southampton, O_Home:1.12976, D_Home:1.24219, O_Away:1.45473, D_Away:1.10041, Rest Home8, Rest Away7, Win :0.33, Draw :0.31
29/10/2017-Leicester-Everton, O_Home:1.57761, D_Home:1.18409, O_Away:1.55849, D_Away:1.25185, Rest Home4, Rest Away3, Win :0.47, Draw :0.26
30/10/2017-Burnley-Newcastle, O_Home:1.3528, D_Home:1.13067, O_Away:1.29244, D_Away:1.19563, Rest Home9, Rest Away9, Win :0.47, Draw :0.29
04/11/2017-Huddersfield-West Brom, O_Home:1.01774, D_Home:1.29308, O_Away:1.23023, D_Away:1.18373, Rest Home6, Rest Away6, Win :0.35, Draw :0.32
04/11/2017-Newcastle-Bournemouth, O_Home:1.26612, D_Home:1.18228, O_Away:1.32115, D_Away:1.28717, Rest Home4, Rest Away6, Win :0.45, Draw :0.29
